,Rice_Production_223,NetAreaIrrigated_Tanks_NetAreaIrrigated_176,NetAreaIrrigatedUnderDifferentSources_LiftIrrigation_No_183,NetAreaIrrigatedUnderDifferentSources_LiftIrrigation_NetIrrigatedArea_185,AreaUnderCereals_Paddy_190,TotalNPK_315,NetAreaIrrigated_Canals_Length_171,NetAreaIrrigated_Canals_GrossIrrigatedArea_172,NetAreaIrrigated_Canals_NetAreaIrrigated_173,NetAreaIrrigated_Tanks_GrossIrrigatedArea_175,NetAreaIrrigatedUnderDifferentSources_LiftIrrigation_GrossIrrigatedArea_184,NetAreaIrrigatedUnderDifferentSources_LiftIrrigation_NetIrrigatedArea_185.1,NetAreaIrrigatedUnderDifferentSources_TotalGrossIrrigatedArea_188,UrbanBPLPriorityCardHoldersAkshayaWithoutCylinder_37,LivestockCensus_2012_Cattle_354,SmallAgricultureLandHoldings_TotalInstitutionsNumber_1040,SmallAgricultureLandHoldings_TotalInstitutionsArea_1044,SemiMediumAgricultureLandHoldings_TotalInstitutionsNumber_1072,SemiMediumAgricultureLandHoldings_TotalInstitutionsArea_1076,MediumAgricultureLandHoldings_TotalInstitutionsNumber_1104,MediumAgricultureLandHoldings_TotalInstitutionsArea_1108,District
0,3376,3.6150566419640233,0.0,0.0,782,513.8229897815938,0,0.0,0.0,4.629035943978323,0.0,0.0,248.07224054062877,876,136582,0.3747314811791975,0.5290326793118083,0.35268845287453887,0.9478502171003232,0.39677450948385623,2.4908621984264308,BENGALURU
1,2354,0.0,0.008714645342810603,0.3050125869983711,736,167.8353546571894,0,0.0,0.0,0.0,0.3050125869983711,0.3050125869983711,206.83339256626684,0,158820,0.08714645342810604,0.13071968014215904,0.061002517399674216,0.14814897082778025,0.008714645342810603,0.04357322671405302,BENGALURU(R)
2,12128,58.26421452274836,0.1380668590586454,14.669603774981075,4468,257.90889272154965,178,307.8200622712499,272.5094630670014,63.61430531127087,15.670588503156253,14.669603774981075,1226.6204925917705,0,259897,0.9664680134105179,1.380668590586454,0.48323400670525896,1.2426017315278086,0.24161700335262948,1.380668590586454,RAMANAGARA
3,4566,0.0,0.5457732239765677,0.0,1297,183.03295672126313,142,10.869558320505288,9.28324549193788,0.0,0.0,0.0,548.0277264531811,0,275889,0.0,0.0,0.0,0.0,0.3315444818549243,2.280005898294633,CHITRADURGA
4,489505,326.33184472719654,332.28835819027444,1406.1626425337479,98259,21197.529554104807,203,20492.5336392248,18037.386429318296,326.33184472719654,2171.149157291896,1406.1626425337479,44705.548134012795,92890,332075,74.24368566479244,107.0045097117209,64.03251972808745,171.46249468717107,38.50460488632501,216.13634566025533,DAVANAGERE
5,864,0.0,0.0,0.0,395,108.44595282538606,0,0.0,0.0,0.0,0.0,0.0,122.28637366366877,0,229036,0.3078907178007806,0.3909723400644833,0.19548617003224164,0.4887154250806041,0.07819446801289666,0.5082640420838282,KOLAR
6,2698,0.0,0.15525121662501645,0.0,1333,209.64089284931387,0,0.0,0.0,0.0,0.0,0.0,432.1232791880398,5,246339,0.0,0.0,0.0,0.0,0.3252882634047964,2.0182658161252136,CHIKKABALLAPURA
7,384974,15950.722057911074,1299.8252828098914,1204.6550308893213,109617,17722.015759774844,378,15798.574878853848,13305.677786605493,16826.03792754895,1416.5966774361173,1204.6550308893213,51282.67808342272,2,568476,20.661962588018508,28.801523607540947,17.53136219589449,48.83736611713465,11.58322145085886,65.74260823460433,SHIVAMOGGA
8,26042,252.27856310788317,0.2523346374717658,0.0,10379,1069.5624166969912,87,114.92440877741866,114.92440877741866,252.27856310788317,0.0,0.0,4968.693309274599,26,527067,1.1214872776522924,1.6541937345371314,1.177561641534907,3.2803502871329555,0.6168180027087609,3.869131107900409,TUMAKURU
9,110533,1382.320206395195,882.35508161974,23.81817398237335,33036,14694.29764514366,50,1654.2804475030218,1344.6441857321681,1445.1135741669068,23.81817398237335,23.81817398237335,13943.15904928136,17495,337576,55.64791557699955,76.65121445236514,43.522299731427665,113.46111969785123,27.499164506921957,158.7156502643606,CHIKKAMAGALURU
